N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
210,0.5309859354055878,0.5060330132469795,0.486,0.5628986747114534,0.5385369544102521,0.5433333333333333,0.5384958613208505,0.06834813077041631,5.500849265833156,False,0.5895659649546532,0.5640000000000001,0.5593367117839502,0.06823961643581054,4.017752161911806,True,0.5871754970317115,0.5833333333333334,0.6102774972346463,0.019385829643458898,318998.5752517833,True
220,0.50728742368048,0.49866675216552575,0.5193333333333333,0.5628986747114534,0.5441198915469624,0.5513333333333333,0.47798671561476347,0.06751881246477211,20.023527286698265,False,0.5817929485245411,0.552,0.5883742810101139,0.06706058621358409,5.7201714337797025,True,0.5960209287953074,0.5673333333333334,0.5972255620214068,0.016500090310682374,130860.38568810732,True
230,0.6455571920799968,0.5222537499265245,0.542,0.5628986747114534,0.5747778277115551,0.5746666666666665,0.5918177591817759,0.06619045504271032,5.002767839498877,True,0.5920235114807503,0.5706666666666668,0.496600166784271,0.06468968715431833,5.75187663996642,True,0.5971148137854002,0.582,0.620462548827864,0.014825245258635945,193539.661581866,True
240,0.4518938371667313,0.4736556640322331,0.5006666666666667,0.5628986747114534,0.5888355840479494,0.5726666666666667,0.5879729823605165,0.06531099942143202,7.508799980699967,True,0.552732131989098,0.5386666666666667,0.5824085359334573,0.06441412274994539,4.476340368236659,False,0.6157045542965814,0.5873333333333334,0.6208419500152295,0.01744078900234786,410307.63232037023,True
250,0.6243586070727735,0.5071364828975563,0.5233333333333333,0.5628986747114534,0.5614434881724953,0.5533333333333333,0.5652436450301117,0.06234834783610164,5.913737935845058,False,0.5807895910209102,0.5666666666666668,0.6077576068595377,0.06268613975487923,5.929344989275589,True,0.5790436186776112,0.578,0.6177800221228298,0.01786552123850206,331666.2993401381,True
260,0.5919892196099159,0.5089666928506923,0.524,0.5628986747114534,0.5940812610368237,0.5893333333333333,0.544288409026542,0.0617009503544019,4.644420365277772,True,0.5977946889711595,0.5733333333333334,0.5933778091389228,0.06108233293736084,5.851484440443781,True,0.6058862896108149,0.5866666666666667,0.6215900650325697,0.012549862958901972,344484.2477264101,True
270,0.6561520238112398,0.5009271282536324,0.5346666666666667,0.5628986747114534,0.5660092511475323,0.5586666666666665,0.5533646472904877,0.06100587020803683,20.156737136894037,True,0.5826819679642791,0.5666666666666668,0.59754741591293,0.06006664486480428,6.4242276706139965,True,0.6047709597964058,0.5786666666666668,0.6110362996093771,0.014483838898274787,850177.697868423,True
280,0.6107618258980695,0.49112147784778,0.5166666666666667,0.5628986747114534,0.577636540113088,0.5726666666666667,0.549418340574018,0.059461480871843,17.92596063122497,True,0.5635837667108327,0.5466666666666667,0.5300960078687964,0.058855053521577605,6.639305419676263,True,0.6131049326327241,0.5953333333333334,0.6324190299085696,0.013383670484739667,802153.1975005193,True
290,0.5895594980772539,0.49701021176998667,0.5313333333333333,0.5628986747114534,0.5396838086486636,0.5586666666666668,0.5762088737128414,0.05758661091282682,6.730935631345292,False,0.5905384613289835,0.568,0.5968097162529133,0.058696117849210715,5.3353661475070835,True,0.5998237445117119,0.5653333333333334,0.6052090179921662,0.01341634798645415,843088.6221486913,True
300,0.5839154903829832,0.5125816914880542,0.506,0.5628986747114534,0.5629729564430807,0.5606666666666666,0.5831957336069297,0.05774291128136406,54.35403789785925,True,0.5935522332074057,0.5746666666666668,0.601086236021126,0.057595489481651635,6.956370327564014,True,0.6365764535988924,0.61,0.6386604466246654,0.011847825999609296,1223067.849440056,True
